date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:42	97713/97713	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:40%20GMT	https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7?authuser=0	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/trang-ch%e1%bb%a7e486.html	(from )
23:40:43	85/85	---MCZ	200	added ('OK')	text/plain	date:Sun,%2007%20Dec%202025%2016:40:42%20GMT	https://sites.google.com/robots.txt		(from )
23:40:44	87964/87964	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Dec%202025%2016:40:42%20GMT	https://sites.google.com/view/munnmoc/POST	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/POST.1.delayed	(from https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7?authuser=0)
23:40:45	97691/97691	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:43%20GMT	https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7?authuser	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/trang-ch%e1%bb%a7fd93.html	(from https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7?authuser=0)
23:40:45	14495/14495	---M--	200	added ('OK')	text/javascript	etag:%227a7065367fbeece3%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/Munnmoc/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7?authuser=0)
23:40:46	97627/97627	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:45%20GMT	https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/trang-ch%e1%bb%a7.html	(from https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7?authuser=0)
23:40:48	109746/109746	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:45%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt.html	(from https://sites.google.com/view/munnmoc/trang-ch%e1%bb%a7?authuser=0)
23:40:49	21037/21037	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2007%20Dec%202025%2016:40:48%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/burnt-cheesecake	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/burnt-cheesecake.html	(from https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt)
23:40:50	91621/91621	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:48%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/red-velvet	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/red-velvet.html	(from https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt)
23:40:51	91595/91595	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:49%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/tiramisu	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/tiramisu.html	(from https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt)
23:40:51	91635/91635	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:50%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/mousse-cake	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/mousse-cake.html	(from https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt)
23:40:52	91620/91620	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:50%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/macaron	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/macaron.html	(from https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt)
23:40:53	91611/91611	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2016:40:51%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/croissant	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/croissant.html	(from https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt)
23:40:54	88091/88091	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Dec%202025%2016:40:52%20GMT	https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/POST	C:/My%20Web%20Sites/Munnmoc/sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/POST.c.delayed	(from https://sites.google.com/view/munnmoc/b%c3%a1nh-ng%e1%bb%8dt/red-velvet)
